Week,Number Subscriber
"Sep 30, 2019 to Oct 6, 2019 (Week 40)",51962
"Oct 7, 2019 to Oct 13, 2019 (Week 41)",62433
"Oct 14, 2019 to Oct 20, 2019 (Week 42)",61552
"Oct 21, 2019 to Oct 27, 2019 (Week 43)",54288
"Oct 28, 2019 to Nov 3, 2019 (Week 44)",68773
"Nov 4, 2019 to Nov 10, 2019 (Week 45)",58894
"Nov 11, 2019 to Nov 17, 2019 (Week 46)",60852
"Nov 18, 2019 to Nov 24, 2019 (Week 47)",55239
"Nov 25, 2019 to Dec 1, 2019 (Week 48)",57803
"Dec 2, 2019 to Dec 8, 2019 (Week 49)",75801
"Dec 9, 2019 to Dec 15, 2019 (Week 50)",53021
"Dec 16, 2019 to Dec 22, 2019 (Week 51)",59120
"Dec 23, 2019 to Dec 29, 2019 (Week 52)",56598
"Dec 30, 2019 to Jan 5, 2020 (Week 1)",58370
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",76858
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",77921
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",70403
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",72052
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",75771
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",75053
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",74193
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",68049
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",77346
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",67406
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",71684
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",67221
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",63835
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",63152
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",46034
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",23181
"Apr 27, 2020 to May 3, 2020 (Week 18)",19826
"May 4, 2020 to May 10, 2020 (Week 19)",20971
"May 11, 2020 to May 17, 2020 (Week 20)",18726
"May 18, 2020 to May 24, 2020 (Week 21)",14815
"May 25, 2020 to May 31, 2020 (Week 22)",18536
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",21598
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",22142
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",24575
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",31057
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",31531
"Jul 6, 2020 to Jul 12, 2020 (Week 28)",32047
"Jul 13, 2020 to Jul 19, 2020 (Week 29)",30939
"Jul 20, 2020 to Jul 26, 2020 (Week 30)",30338
"Jul 27, 2020 to Aug 2, 2020 (Week 31)",30755
"Aug 3, 2020 to Aug 9, 2020 (Week 32)",33378
"Aug 10, 2020 to Aug 16, 2020 (Week 33)",32288
"Aug 17, 2020 to Aug 23, 2020 (Week 34)",28558
"Aug 24, 2020 to Aug 30, 2020 (Week 35)",32175
"Aug 31, 2020 to Sep 6, 2020 (Week 36)",40659
"Sep 7, 2020 to Sep 13, 2020 (Week 37)",38198
"Sep 14, 2020 to Sep 20, 2020 (Week 38)",34604
"Sep 21, 2020 to Sep 27, 2020 (Week 39)",25185
"Sep 28, 2020 to Oct 4, 2020 (Week 40)",29358
"Oct 5, 2020 to Oct 11, 2020 (Week 41)",28372
"Oct 12, 2020 to Oct 18, 2020 (Week 42)",30675
"Oct 19, 2020 to Oct 25, 2020 (Week 43)",28327
"Oct 26, 2020 to Nov 1, 2020 (Week 44)",26898
"Nov 2, 2020 to Nov 8, 2020 (Week 45)",32629
"Nov 9, 2020 to Nov 15, 2020 (Week 46)",31651
"Nov 16, 2020 to Nov 22, 2020 (Week 47)",31614
"Nov 23, 2020 to Nov 29, 2020 (Week 48)",33127
"Nov 30, 2020 to Dec 6, 2020 (Week 49)",45734
"Dec 7, 2020 to Dec 13, 2020 (Week 50)",59089
"Dec 14, 2020 to Dec 20, 2020 (Week 51)",66180
"Dec 21, 2020 to Dec 27, 2020 (Week 52)",57624
"Dec 28, 2020 to Jan 3, 2021 (Week 1)",58432
"Jan 4, 2021 to Jan 10, 2021 (Week 2)",58632
"Jan 11, 2021 to Jan 17, 2021 (Week 3)",47558
"Jan 18, 2021 to Jan 24, 2021 (Week 4)",55629
"Jan 25, 2021 to Jan 31, 2021 (Week 5)",65750
"Feb 1, 2021 to Feb 7, 2021 (Week 6)",59716
"Feb 8, 2021 to Feb 14, 2021 (Week 7)",48234
"Feb 15, 2021 to Feb 21, 2021 (Week 8)",46727
"Feb 22, 2021 to Feb 28, 2021 (Week 9)",47013
"Mar 1, 2021 to Mar 7, 2021 (Week 10)",52812
"Mar 8, 2021 to Mar 14, 2021 (Week 11)",51027
"Mar 15, 2021 to Mar 21, 2021 (Week 12)",42283
"Mar 22, 2021 to Mar 28, 2021 (Week 13)",37220
"Mar 29, 2021 to Apr 4, 2021 (Week 14)",37698
"Apr 5, 2021 to Apr 11, 2021 (Week 15)",45666
"Apr 12, 2021 to Apr 18, 2021 (Week 16)",41339
"Apr 19, 2021 to Apr 25, 2021 (Week 17)",37205
"Apr 26, 2021 to May 2, 2021 (Week 18)",38909
"May 3, 2021 to May 9, 2021 (Week 19)",45227
"May 10, 2021 to May 16, 2021 (Week 20)",30236
"May 17, 2021 to May 23, 2021 (Week 21)",44154
"May 24, 2021 to May 30, 2021 (Week 22)",41379
"May 31, 2021 to Jun 6, 2021 (Week 23)",42108
"Jun 7, 2021 to Jun 13, 2021 (Week 24)",41769
"Jun 14, 2021 to Jun 20, 2021 (Week 25)",45706
"Jun 21, 2021 to Jun 27, 2021 (Week 26)",44677
"Jun 28, 2021 to Jul 4, 2021 (Week 27)",49150
"Jul 5, 2021 to Jul 11, 2021 (Week 28)",42615
"Jul 12, 2021 to Jul 18, 2021 (Week 29)",52362
"Jul 19, 2021 to Jul 25, 2021 (Week 30)",50651
"Jul 26, 2021 to Aug 1, 2021 (Week 31)",55170
"Aug 2, 2021 to Aug 8, 2021 (Week 32)",63841
"Aug 9, 2021 to Aug 15, 2021 (Week 33)",59517
"Aug 16, 2021 to Aug 22, 2021 (Week 34)",59782
"Aug 23, 2021 to Aug 29, 2021 (Week 35)",69064
"Aug 30, 2021 to Sep 5, 2021 (Week 36)",61891
"Sep 6, 2021 to Sep 12, 2021 (Week 37)",68004
"Sep 13, 2021 to Sep 19, 2021 (Week 38)",63948
"Sep 20, 2021 to Sep 26, 2021 (Week 39)",61465
"Sep 27, 2021 to Oct 3, 2021 (Week 40)",64227
"Oct 4, 2021 to Oct 10, 2021 (Week 41)",63151
"Oct 11, 2021 to Oct 17, 2021 (Week 42)",65578
"Oct 18, 2021 to Oct 24, 2021 (Week 43)",74063
"Oct 25, 2021 to Oct 31, 2021 (Week 44)",80110
"Nov 1, 2021 to Nov 7, 2021 (Week 45)",85105
"Nov 8, 2021 to Nov 14, 2021 (Week 46)",75642
"Nov 15, 2021 to Nov 21, 2021 (Week 47)",73819
"Nov 22, 2021 to Nov 28, 2021 (Week 48)",72443
"Nov 29, 2021 to Dec 5, 2021 (Week 49)",76445
"Dec 6, 2021 to Dec 12, 2021 (Week 50)",74215
"Dec 13, 2021 to Dec 19, 2021 (Week 51)",74598
"Dec 20, 2021 to Dec 26, 2021 (Week 52)",75215
"Dec 27, 2021 to Jan 2, 2022 (Week 1)",64548
